Void Naten,~
fender,~
Master Float,~
L Chevy 12,&
Lt. Tesla,~
Crystal Gray,+
Dream Eater Gengar,&
love's escort,%
Neo Soul,~
Carnie Chime,%
Sam Crowe,$
Not Orangejuice,%
Irraquated,@
NTGs,$
Alpha Ninja,@
Ruby D,%
Chief Sokka - ⒶⒻⓀ,@
imp latios,$
panpawn,%
yunG Sensory,+
Tylacto,+
TheAce22,+
Imp Fallen Blood,%
voidchrOno,+
sparkychild,&
SWL Eric,+
Nineage,~
Erica*07,&
Alliance - Contort,+
TheWeezingBro,+
Rain Link,$
xWankaa,+
Sandman619,+
Hm Volco,+
EosBot,@
Vileman,$
FranchescoEnzo,$
Yellow-chan,%
Velveteen Rabbit,@
Austin,&
zarel,%
a Gryphon,%
Void Cryptis,%
Void QueenHigh,&
Alliance Char,%
Steelchar,+
